team,season,manager
P.a.o.k_Fc,2012,Xiaomin_Saoudi
Juventus,2010,Masum_Kasprzak
Boavista_F.C.,2015,Duckyoung_Padhye
P.a.o.k_Fc,2012,Sreenivas_Wohr
VfL_Wolfsburg,2011,Atsufumi_Comparetto
Valencia_CF,2011,Veit_Luks
FK_Partizan,2013,Ryouji_Dare
Boavista_F.C.,2013,Srikanth_Chimia
Juventus,2012,IlYoung_Giese
FC_Kaiserslautern,2012,Atsufumi_Comparetto
Clube_de_Regatas_do_Flamengo,2013,Jeremy_Cantu
Juventus,2015,Sigenobu_Bodagala
The_New_Saints_F.C.,2012,Mayan_Tautenhahn
Aalborg_Boldspilklub,2014,Rosangela_Ketz
Montpellier_HSC,2013,Bernando_Jesus
Forest_Green_Rovers_F.C.,2012,Srikanth_Chimia
Valencia_CF,2011,Vagan_Smallwood
FC_Midtjylland,2011,Mattan_Edelhoff
Toronto_FC,2014,Kazuhiko_Claybrook
ACF_Fiorentina,2014,Aiqun_Levergood
West_Ham_United_F.C.,2011,Jiangling_Micheaux
Wolverhampton_Wanderers_Football_Club,2013,Sigenobu_Bodagala
FC_Bayern_Munich,2015,Atsufumi_Comparetto
S.C._Braga,2013,Shyamala_Gibbs
ACF_Fiorentina,2013,Amandio_Klosowski
A.C._Perugia_Calcio,2014,Nabih_Rios
Clube_de_Regatas_do_Flamengo,2011,Xiaolei_Ronchette
Royal_Antwerp_F.C.,2011,Rashi_Papadourakis
FC_Spartak_Moscow,2012,Olavi_Gurd
ACF_Fiorentina,2012,Atsuyuki_Jayaprakash
New_York_Red_Bulls,2011,Atsuyuki_Jayaprakash
Seattle_Sounders,2013,Nabih_Rios
Boavista_F.C.,2014,Torsten_Fedou
FC_Anzhi_Makhachkala,2013,Robert_Lally
S.C._Braga,2011,Anupam_Oxenboll
FC_Spartak_Moscow,2011,Yki_Villano
FC_Dinamo_Bucuresti,2013,Mattan_Edelhoff
Forest_Green_Rovers_F.C.,2014,Bon_Kruiskamp
The_New_Saints_F.C.,2014,Robbert_Flach
FK_Partizan,2012,Ravindra_Grnarov
Delfino_Pescara_1936,2012,Robbert_Flach
Boavista_F.C.,2014,Piera_Faustini
Sport_Club_Internacional,2011,Berardo_Gerber
P.a.o.k_Fc,2012,Kazuhiko_Claybrook
Sport_Club_Internacional,2013,Soung_Alt
FC_Nordsjelland,2011,Cees_Gunal
SV_Werder_Bremen,2014,Sigenobu_Bodagala
A.C._Perugia_Calcio,2013,Masum_Kasprzak
West_Ham_United_F.C.,2013,Aiqun_Levergood
Borussia_Monchengladbach,2012,Jeremy_Cantu
ACF_Fiorentina,2013,Suranjan_Sakurai
West_Ham_United_F.C.,2011,Jiangling_Micheaux
S.C._Braga,2013,Vagan_Smallwood
S.C._Braga,2014,Bernando_Jesus
Lille_OSC,2010,Robert_Lally
A.C._Perugia_Calcio,2013,Atsufumi_Comparetto
Tianjin_Teda_F.C.,2011,Ryouji_Dare
S.C._Braga,2013,Henryk_Kochs
Aik_Solna,2010,Shigetomo_Abbas
Tianjin_Teda_F.C.,2014,Ahsan_Kliger
New_York_Red_Bulls,2011,Atsuyuki_Jayaprakash
West_Ham_United_F.C.,2011,Jiangling_Micheaux
West_Ham_United_F.C.,2011,Jiangling_Micheaux
FC_Bayern_Munich,2014,Shigetomo_Abbas
Seattle_Sounders,2011,Aiqun_Levergood
West_Ham_United_F.C.,2013,Aiqun_Levergood
Grasshopper_Club_Zurich,2015,Olavi_Gurd
VfL_Wolfsburg,2011,Atsufumi_Comparetto
Club_Atletico_Velez_Sarsfield,2014,Srikanth_Chimia
A.C._Perugia_Calcio,2013,Masum_Kasprzak
Wolverhampton_Wanderers_Football_Club,2012,Zhouhui_Rubio
New_York_Red_Bulls,2011,Atsuyuki_Jayaprakash
New_York_Red_Bulls,2011,Atsuyuki_Jayaprakash
A.C._Perugia_Calcio,2013,Masum_Kasprzak
New_York_Red_Bulls,2011,Atsuyuki_Jayaprakash
New_York_Red_Bulls,2011,Atsuyuki_Jayaprakash
New_York_Red_Bulls,2011,Atsuyuki_Jayaprakash
New_York_Red_Bulls,2011,Atsuyuki_Jayaprakash
New_York_Red_Bulls,2011,Atsuyuki_Jayaprakash
West_Ham_United_F.C.,2011,Jiangling_Micheaux
West_Ham_United_F.C.,2013,Aiqun_Levergood
A.C._Perugia_Calcio,2013,Masum_Kasprzak
FC_Midtjylland,2011,Nabih_Rios
West_Ham_United_F.C.,2011,Jiangling_Micheaux
West_Ham_United_F.C.,2011,Jiangling_Micheaux
A.C._Perugia_Calcio,2013,Masum_Kasprzak
West_Ham_United_F.C.,2011,Jiangling_Micheaux
West_Ham_United_F.C.,2011,Jiangling_Micheaux
VfL_Wolfsburg,2011,Atsufumi_Comparetto
New_York_Red_Bulls,2011,Atsuyuki_Jayaprakash
West_Ham_United_F.C.,2013,Aiqun_Levergood
New_York_Red_Bulls,2011,Atsuyuki_Jayaprakash
VfL_Wolfsburg,2011,Atsufumi_Comparetto
New_York_Red_Bulls,2011,Atsuyuki_Jayaprakash
West_Ham_United_F.C.,2011,Jiangling_Micheaux
A.C._Perugia_Calcio,2013,Masum_Kasprzak
New_York_Red_Bulls,2011,Atsuyuki_Jayaprakash
West_Ham_United_F.C.,2011,Jiangling_Micheaux
New_York_Red_Bulls,2011,Atsuyuki_Jayaprakash
West_Ham_United_F.C.,2011,Jiangling_Micheaux
VfL_Wolfsburg,2011,Atsufumi_Comparetto
